Year,wyt
1995,W
1996,W
1997,W
1998,W
1999,W
2000,A
2001,D
2002,D
2003,A
2004,B
2005,A
2006,W
2007,D
2008,C
2009,D
2010,B
2011,W
2012,B
2013,D
2014,C
2015,C
2016,B
